year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2016,"European Monetary Union","EMU","Lithuania","LTU",.0009407
2016,"European Monetary Union","EMU","Luxembourg","LUX",.000066
2016,"European Monetary Union","EMU","Malaysia","MYS",.0060588
2016,"European Monetary Union","EMU","Malta","MLT",5.81e-06
2016,"European Monetary Union","EMU","Mexico","MEX",.0173821
2016,"European Monetary Union","EMU","Netherlands","NLD",.0142064
2016,"European Monetary Union","EMU","Poland","POL",.0101706
2016,"European Monetary Union","EMU","Portugal","PRT",.010296
2016,"European Monetary Union","EMU","Russian Federation","RUS",.0087557
2016,"European Monetary Union","EMU","Slovakia","SVK",.0006588
2016,"European Monetary Union","EMU","Slovenia","SVN",.0021333
2016,"European Monetary Union","EMU","South Africa","ZAF",.0096197
2016,"European Monetary Union","EMU","Spain","ESP",.113939
2016,"European Monetary Union","EMU","Sweden","SWE",.0073787
2016,"European Monetary Union","EMU","Turkey","TUR",.0115681
2016,"European Monetary Union","EMU","United Kingdom","GBR",.0333765
2016,"European Monetary Union","EMU","United States","USA",.2469751
2016,"Norway","NOR","Austria","AUT",.0030377
2016,"Norway","NOR","Belgium","BEL",.0052257
2016,"Norway","NOR","Canada","CAN",.0034317
2016,"Norway","NOR","Croatia","HRV",.0036681
2016,"Norway","NOR","European Monetary Union","EMU",.0567161
2016,"Norway","NOR","Finland","FIN",.0041604
2016,"Norway","NOR","France","FRA",.0087935
2016,"Norway","NOR","Germany","DEU",.0081849
2016,"Norway","NOR","Greece","GRC",.0026706
2016,"Norway","NOR","Italy","ITA",.0073634
2016,"Norway","NOR","Japan","JPN",.0154097
2016,"Norway","NOR","Mexico","MEX",.0030262
2016,"Norway","NOR","Netherlands","NLD",.0023901
2016,"Norway","NOR","Norway","NOR",.8307516
2016,"Norway","NOR","Peru","PER",.0017346
2016,"Norway","NOR","Portugal","PRT",.0032564
2016,"Norway","NOR","Spain","ESP",.0097421
2016,"Norway","NOR","Sweden","SWE",.0137327
2016,"Norway","NOR","United Kingdom","GBR",.0097253
2016,"Norway","NOR","United States","USA",.0515093
2016,"Sweden","SWE","Belgium","BEL",.0008481
2016,"Sweden","SWE","European Monetary Union","EMU",.0281121
2016,"Sweden","SWE","Finland","FIN",.0021735
2016,"Sweden","SWE","France","FRA",.0052629
2016,"Sweden","SWE","Germany","DEU",.0071751
2016,"Sweden","SWE","Italy","ITA",.0065709
2016,"Sweden","SWE","Japan","JPN",.0007511
2016,"Sweden","SWE","Netherlands","NLD",.0016471
2016,"Sweden","SWE","Poland","POL",.0012247
2016,"Sweden","SWE","South Africa","ZAF",.0011916
2016,"Sweden","SWE","Spain","ESP",.0034865
2016,"Sweden","SWE","Sweden","SWE",.9309829
2016,"Sweden","SWE","United Kingdom","GBR",.0049296
2016,"Sweden","SWE","United States","USA",.0277763
2016,"Switzerland","CHE","Australia","AUS",.0116055
2016,"Switzerland","CHE","Austria","AUT",.0092721
2016,"Switzerland","CHE","Belgium","BEL",.0172555
2016,"Switzerland","CHE","Canada","CAN",.0298892
2016,"Switzerland","CHE","Denmark","DNK",.0090066
2016,"Switzerland","CHE","European Monetary Union","EMU",.2536415
2016,"Switzerland","CHE","France","FRA",.0511044
2016,"Switzerland","CHE","Germany","DEU",.0644682
2016,"Switzerland","CHE","Italy","ITA",.0444088
2016,"Switzerland","CHE","Japan","JPN",.0630821
2016,"Switzerland","CHE","Korea, Republic of","KOR",.0101327
2016,"Switzerland","CHE","Netherlands","NLD",.0188187
2016,"Switzerland","CHE","Poland","POL",.0135909
2016,"Switzerland","CHE","Spain","ESP",.0295637
2016,"Switzerland","CHE","Sweden","SWE",.01677
2016,"Switzerland","CHE","Switzerland","CHE",.2832064
2016,"Switzerland","CHE","United Kingdom","GBR",.0387814
2016,"Switzerland","CHE","United States","USA",.2166142
2016,"United Kingdom","GBR","Argentina","ARG",.0061646
2016,"United Kingdom","GBR","Australia","AUS",.0244936
2016,"United Kingdom","GBR","Brazil","BRA",.0073285
2016,"United Kingdom","GBR","Canada","CAN",.007947
2016,"United Kingdom","GBR","European Monetary Union","EMU",.0899418
2016,"United Kingdom","GBR","France","FRA",.0128488
2016,"United Kingdom","GBR","Germany","DEU",.0479603
2016,"United Kingdom","GBR","Indonesia","IDN",.0068751
2016,"United Kingdom","GBR","Italy","ITA",.0106573
2016,"United Kingdom","GBR","Japan","JPN",.012174
2016,"United Kingdom","GBR","Mexico","MEX",.0189188
2016,"United Kingdom","GBR","New Zealand","NZL",.0076178
2016,"United Kingdom","GBR","Poland","POL",.0057731
2016,"United Kingdom","GBR","Portugal","PRT",.0062826
2016,"United Kingdom","GBR","Spain","ESP",.0069631
2016,"United Kingdom","GBR","Turkey","TUR",.0051445
2016,"United Kingdom","GBR","United Kingdom","GBR",.5445664
2016,"United Kingdom","GBR","United States","USA",.2195726
2016,"United States","USA","Argentina","ARG",.0021334
2016,"United States","USA","Australia","AUS",.0011409
2016,"United States","USA","Brazil","BRA",.0086856
2016,"United States","USA","Canada","CAN",.0043237
2016,"United States","USA","Colombia","COL",.0016954
2016,"United States","USA","European Monetary Union","EMU",.0134047
2016,"United States","USA","France","FRA",.0020677
